|message
91|group senate democrats asked u department labor open investigation whether wells fargo violated fair labor standards act flsa
92|according maureen dowd donald trump office trump tower like infinity mirror pictures papering whole office
93|new clinton ad airing battleground states trump previous rhetoric women overlayed images girls looking mirror http abcn ws df upa
94|end museum americans interview robin roberts pres barack obama describes visit national museum african american history culture snpy tv cwv af
95|number bodies retrieved climbed boat carrying hundreds migrants capsized wednesday http abcn ws cwwcca
96|think fact great grandfather slave live white house huge michelle obama tells robin roberts snpy tv tcnu
97|wells fargo ceo voluntarily resigns position federal reserve advisory council following revelations bank opened millions unauthorized accounts http abcn ws cirooh
98|days first general election presidential debates everything need know http abcn ws cmqi
99|photos protests charlotte nc fatal police shooting keith lamont scott http abcn ws dfy dj
100|group syrian white helmets saved lives often working perilous conditions surrounded violent conflict http abcn ws cmvtoe
101|six democratic senators slam wells fargo bank use forced arbitration clauses customer account agreements http abcn ws cseyut
102|ted cruz announces facebook post vote former rival donald trump november
103|tulsa police officer betty shelby accused fatally shooting unarmed black man terence crutcher arrested morning first court date september http abcn ws ctbtt
104|video moments leading following keith lamont scott fatal shooting recorded woman identified scott wife released today http abcn ws cxrkgz
105|mark cuban front row seat first presidential debate courtesy clinton campaign http abcn ws ctbnre
106|hillary clinton joins growing list voices calling charlotte police department release shooting video keith lamont scott including scott family members http abcn ws dgor
107|city aleppo pounded airstrkes last night killing members family children http abcn ws db tlz
108|election day may six weeks away starting today voters cast votes physical polling place statewide person excuse voting gets underway minnesota south dakota http abcn ws cjbtai
109|days first presidential debate anti trump super pac launched web ad featuring students hostile trump message attend hofstra university first showdown taking place http abcn ws dgptro
110|photos aleppo pounded airstrikes syrian army prepares ground offensive retake city http abcn ws g
111|fatal police shootings week candidates proposals policing splotlight hillary clinton donald trump differ issue http abcn ws cxkeuv
112|president barack obama vetoes bill allowing victims survivors sue saudi arabian government setting stage showdown congress twilight presidency http abcn ws dh nfs
113|campaign libertarian party nominee hoping interject gary johnson voice debate sidelines aggressive twitter media strategy debates
114|hillary clinton list includes anastasia somozaaa woman cerebral palsy recently featured campaign attack ad donald trump mocking disabled reporteraand longtime trump troller mark cuban debates
115|tonight anticipated political event season hillary clinton donald trump face first presidential debate watch live abc news stream abc facebook debates
116|cities suffered uptick violent crime last year according new statistics compiled fbi federal bureau investigationathough last year statistics still slightly lower level
117|september john f kennedy richard nixon faced nation first televised presidential debate http abcn ws cq hd debates
118|abc news live gino pizza levittown ny talking long islanders ahead tonight critical presidential debate http abcn ws dmynni
119|donald trump said plans respectful opponent tonightato point meanwhile hillary clinton prepped one two versions rival watch tonight first presidential debate debates
120|east aleppo saw witnesses describe unprecedented relentless offensive united nations diplomats demanded halt violence sunday
121|hillary clinton donald trump square first debate relive awkward debate moments political history http abcn ws cygxdu debates
122|live slew new polls showing presidential race tightening ahead tonight debate abc news ryan struyk katherine faulders break latest numbers debate might affect http abcn ws dmynni
123|tonight anticipated event political seasonabut actually impact race abc news analysis previous showdowns tell us debates
124|weare hours ahead widely anticipated first presidential debate abc news political director rick klein discuss two candidates need break ask questions comments
125|americans new abc news washington post poll say thereas agood chancea tonight could swing vote one way another margin two candidates national polls last month debates
126|president obama dons tribal blanket hat ahead remarks white house tribal nations conference http abcn ws cxwmnb
127|george takei kirstie alley stars weighing tonight presidential debate debates
128|take look back hillary clinton memorable moments democratic primary debates abcn ws kj
129|authorities encountered green party nominee jill stein garnered enough support participate debates hofstra university campus asked show proper credentials could police said
130|eighth final white house tribal nations conference president president obama tells standing rock demonstrators making voices heard abcn ws cy ky
131|mark cuban debate spin room hofstra university fun pick donald trump got lot less fun started run president http abcn ws dnmhue
132|donald trump battled dozen opponents series feisty republican primary debates watch biggest moments http abcn ws cxyjr
133|hillary clinton donald trump economic plan trumped trickle economics abcn ws edix debates
134|hillary clinton rebuts donald trump tpp trade deal know live reality abcn ws edix debates
135|president obama vetoed bill friday citing concerns could open u government similar lawsuits
136|donald trump hillary clinton email server mistake done purposely http abcn ws dv rhj debates
137|already fireworks hillary clinton donald trump two candidates face first presidential debate best lines far http abcn ws dsik debates
138|debate fact check donald trump claims say global warming chinese hoax grade false http abcn ws esta debates
139|donald trump defends call stop frisk take guns away bad people http abcn ws dv rhj debates
140|donald trump great service getting president obama produce birth certificate even president http abcn ws dv rhj debates
141|debate fact check donald trump claims hillary clinton fighting isis entire adult life grade false http abcn ws czecpc debates
142|debate fact check donald trump started business million borrowed father grade yes http abcn ws crec debates
143|hillary clinton proved donald trump supported invasion iraq http abcn ws dv rhj debates
144|debate fact check donald trump said hillary clinton called trans pacific partnership gold standard trade deals grade yes http abcn ws wyb debates
145|hillary clinton attacked donald trump releasing tax returns allegedly paying zero federal income taxes trump four words say response athat makes smart debates
146|debate fact check donald trump says suggested would negotiate national debt grade yes http abcn ws dmmt debates
147|hillary clinton donald trump tried begin highly anticipated face genteel note mutual contempt didnat take long surface
148|analysis hillary clinton came looking fight tonight debate found http abcn ws dmu
149|debate fact check hillary clinton also fought meaning pres barack obama natural born citizenship grade false http abcn ws crmfug debates
150|donald trump suggests held back discussing former president bill clinton transgressions first presidential debate daughter chelsea room http abcn ws crobmb debates
151|debate fact check donald trump said support war iraq war iraq grade false http abcn ws bxwm debates
152|first presidential debate drawing close hillary clinton took one last chance hammer donald trump attacking past remarks women debates
153|debate fact check hillary clinton says donald trump advocated actions united states took libya grade mostly true http abcn ws crptxa debates
154|already fireworks hillary clinton donald trump two candidates face first presidential debate best lines far http abcn ws dsik debates
155|quick look highlights first presidential debate hillary clinton donald trump http abcn ws dnoasw debates
156|tim kaine good morning america hillary told truth donald told whoppers http abcn ws np r debates
157|hillary clinton donald trump made lot claims debate stage last night night many true abc news jonathan karl fact checks candidates good morning america abcn ws doxkhp
158|donald trump pushed back criticism received hillary clinton last night debate regarding treatment former miss universe alicia machado saying gained massive amount weight real problem
159|hillary clinton responds donald trump criticism stamina travels countries testifies hours talk stamina http abcn ws nats debates
160|minute debate donald trump never mentioned attacks benghazi even hillary clinton invoked libya comments private email server attacks key issues typically practiced debate prep sessions according advisers trump never participated mock debate debates
161|miss last night major presidential debate hofstra university abc news highlights shwodown hillary clinton donald trump minute http abcn ws bu h
162|hillary clinton abc news cecilia vega whether donald trump participate next two presidential debates person stage well person stage http abcn ws g qi
163|hillary clinton donald trump clashed repeatedly tax plans debate clinton accusing trump proposing amost extreme versiona atrickle economics debates
164|former president bill clinton praises hillary clinton debate performance donald trump last night good debate http abcn ws bwwl
165|hillary clinton best move beyond controversy use private email server secretary state saying last night made mistake declining address emails deleted however answer
166|hillary clinton came swinging donald trump morning wake first presidential debate season criticizing post performance gripes
167|hillary clinton first presidential debate lot work fact checkers last night abcn ws ctcepf debates
168|vice president joe biden hits donald trump debate answer allegedly paying federal income taxes makes smart tell janitor paying taxes tell dad alive busted neck working sixty hours week paid taxes http abcn ws dpj mb
169|speaker paul ryan praises donald trump spirited debate performance says hillary clinton gave polished well rehearsed defense status quo http abcn ws quth
170|donald trump team slamming presidential debate moderator lester holt asking hillary clinton questions email controversy potential conflicts interest clinton foundation among things
171|vice president joe biden asked crowd could imagine ronald reagan saying good business take advantage peopleas misery rooting misery
172|one consistent money makers donald trump campaign iconic red trucker hats emblazoned slogan make america great republican nominee first candidate use catchy slogan get voters fired history political slogans
173|aiave born raised charlotte grade school girl said wiping away tears never felt way canat stand weare treated
174|senate democrats republicans concerns jasta bill would open united states similar legal retaliation foreign nations tarnish relationship saudi arabia key middle east ally veto override expected easily garner two thirds votes needed pass
175|donald trump repeats iraq war claim florida crowd everybody believe going iraq well documented
176|anti globalization movement russia conferenceas organizers present platform marginalized groups agenda overlaps kremlin efforts promote russia alternative guardian global order head democratic movement opposed alleged american imperialism
177|wish trump wouldave hit softballs little harder
178|president obama paints donald trump unprepared temperamentally unfit commander chief first presidential debate
179|clinton campaign chair john podesta donald trump constant interruption hillary clinton reminiscent way lot women feel boys lives http abcn ws dpyb
180|new shimon peres former israeli president prime minister whose life story mirrored jewish state celebrated around world nobel prize winning visionary pushed country toward peace dies http abcn ws debgfn
181|top even morons
182|poor little oompa loompa
183|trump explain hillary bigot made look really foolish anderson even tell definition word
184|mark cuban hit trump hurts ego billionaire
185|jeb call basket deplorables came damn close
186|room went wild
187|war game said rally heas wholly unqualified commander chief u military
188|hilariously sad
189|stupid things
190|shut trump supporter wow
191|john kasich doesnat give sh priebusa pathetic threats
192|michigan governor rick snyder nothing petty tyrant
193|doesnat get better thisa
194|hosts fox friends hoping minnesota police chief would vilify somali immigrants community promptly got asses handed
195|headlines really damning unless actually read beyond
196|exactly right
197|itas like trump never read constitution
198|hillary clinton absolutely right call trump supporters deplorable
199|pants pooping draft dodging pedophile ted nugent message pathetic victims recent mass stabbing
200|trump thinks americans dumb remember said minutes ago
201|even george w myriad international failures budge tradition know entire world considers trump true serious problem
202|trump becomes president end well
203|well uncomfortable
204|trump using terrorist attacks reason limit freedom press expression reeks bush era fear mongering led u giving rights privacy
205|trump backing sheriff fixture cable news inmate supervision died dehydration
206|paul ryan really hates anyone whoas rich
207|pro gun crowd proves beyond doubt theyare possession horrifically blackened souls
208|trump hiding media like total coward could disaster
209|donald trump gets dangerous every day
210|could election get stranger
211|know know
212|former republican president says lot presidential race
213|know awful skittles rainbows happiness stuff steps shut
214|unrealistic unconstitutional hell
215|racist georgia man went completely deep end faced road work way home
216|itas meme originally appeared white power websites
217|bono even got along george w bush trump
218|pastor prayed obama death praised orlando shooter got kicked botswana undesirable
219|well thatas humiliating aoopsa ever one
220|trump needs prosecuted
221|one talking
222|must new outreach strategy
223|sickening terrifying
224|police turned riot gear deployed tear gas control crowds meanwhile number protesters continues grow
225|trump saying blacks worse shape slavery
226|bad itas almost funny
227|people going voting november donald trump
228|guy insane
229|trumpas candidacy foreign diplomats frightened americans blind see man dangerous demagogue
230|trump supporters insane
231|yet another white trump supporter gets racist handed
232|joss whedon comes back social media vengeance message needs heard everyone
233|oops
234|republican senator caught making details military service isnat even first time
235|literally give goosebumps
236|actual f wrong people
237|policy proven racist trump wants every state
238|pure magic
239|wanted witch hunt got bunch pissed democrats ready ask uncomfortable questions trump
240|stupid reached critical mass
241|back basket
242|trumpas flip flopping gotten trouble major endorsement
243|mic drop
244|compassion always win love always trump hate
245|fox news host sean hannity desperately tried smear terence crutcher wednesday violent criminal wanted police repeatedly shut local anchor
246|pennsylvania republicans trying jam bill statehouse would go effect immediately allow voter intimidation across state election day
247|another racist trump staffer
248|house floor rep barbara lee used props illustrate things death sentence african americans interacting police
249|whoas going listen
250|need democratic congress
251|attributing black peopleas anger drug use yearning drugs racist
252|wow
253|like addicting info great content
254|great question like addicting info great content
255|reporter decided ask hillary undergo aneurocognitive testsa laughed
256|would jesus well duh head make america great
257|moderator debates would make want go much harder trump lies
258|even fox news embarrassed sean hannity bromance trump
259|bet hating life right good
260|incredibly ignorant even begin describe
261|trump campaign official creepy vision future people abow downa candidate
262|heas racist swears
263|know threads show strings anti hillary memes well came one place
264|ad powerful
265|donald trump thinks african americans worse ever president obama took woodshed
266|want watch conservative throw temper tantrum mention slavery grab popcorn
267|republicans donald trump really care military veterans tell douchebag shut hell
268|wonder trust police
269|fox news pope talking
270|eric trump tried spin tale fox news father started nothing build business empire smacked reminder donald trump started millionaire
271|wonder republicans tried stop
272|trump campaign denying heas adviser months confirming indeed adviser
273|epidemic black men killed hands police officers america gone unnoticed international stage
274|officer even stand look mirror beyond us
275|anderson cooper even let finish sentence
276|president obama made history president ever accomplished
277|trump completely unfit pretty much everything
278|serious
279|thing accomplished proving sexist trump
280|fox news actually reported touching letter new york boy president asking syrian refugee live pretty well guess happened comments
281|get ready see super awkward interview
282|journalism dead
283|conservatives preparing civil war get way election day
284|powerful ad watched
285|kansas shambles fault
286|one trump biggest lies exposed
287|absolute proof democrats better republicans
288|lol ready tonight debate
289|trump wants bring jobs home start business practices debate
290|trump must humiliated badly would say lost debate
291|absolutely perfect
292|wow
293|trump messed big one
294|lol
295|audience supposed make outbursts help one
296|child
297|hilarious twitter feed debatenight far
298|let say donald trump bad night
299|going leave mark
300|knew would come ready
301|yup
302|hillary said monday night donald lives reality presumably reality thinks actually makes sense
303|dumb kinda funny
304|coward really one half country wants president
305|come offended trump supporters
306|big
307|tore trump pieces front millions people trump camp lies excuses going hide fact
308|katrina pierson opened mouth stupidity flowed
309|really expect guy paraded mistress around public told media getting divorced told wife kids
310|trump never p ssed guy
311|dean physician lays pretty good case asking question
312|online polls completely meaningless
313|leave biden say needs said
314|trump stiff architect also tried smear discredit huge lie scam exposed
315|donald trump debate study habits hillary clinton strategy millennials latest electoral trends swing state ohio future headlines inside politics forecast week
316|since presidential candidate national popular vote without winning county
317|handlers tied forced grudgingly admit man born united states elizabeth warren says kind man man dark ugly soul http cnn cid mp
318|manufactured storyline promise major statement ulterior motive
319|reason woman president society still grapple means see powerful women president obama says
320|former florida governor gop presidential candidate plays uber driver alongside jimmy kimmel emmys video
321|gov chris christie falsely claims donald trump talked birther years
322|believe russia ability affect election us secretary state john kerry tells cnn elise labott cnn darnnh
323|hillary clinton moment truth obama coalition fast approaching work
324|hillary clinton facing dramatically tightening race troubling lack enthusiasm looking steadily changing state opportunity stabilize path white house force republicans play offense
325|world toughest list stop violent extremism solve worst global refugee crisis quarter century foster peace ravaged middle east meantime work end poverty disease hunger threat nuclear weapons
326|libertarian presidential candidate gary johnson responds reports running mate considering dropping race fear hurting hillary clinton chances winning bill weld long haul johnson says http cnn ccsir
327|believe russia ability effect election going absolutely vigilant us secretary state john kerry says president made clear russia warned
328|donald trump reacts series bombing threats attacks weekend warning going get worse
329|white plains new york democratic presidential nominee hillary clinton holding press conference
330|hillary clinton donald trump set meet egyptian president abdel fattah el sisi united national general assembly
331|awe know lot rhetoric heard donald trump seized terrorists hillary clinton says adding know donald trump comments used online recruitment terrorists http cnn cyfkpy
332|president bill clinton says natural foundation donors seek favors none given
333|rnc chair reince priebus warned consequences backing republican nominee
334|jill soloway creator amazon transparent joined chorus criticism republican presidential nominee awards show
335|democrats easier path electoral college votes republicans karl rove tells david axelrod axefiles
336|speaking philadelphia hillary clinton says terror attacks sobering reminder need steady leadership dangerous world
337|cnn political director david chalian breaks need know election new podcast daily dc
338|like much else says grounded fact meant make kind demagogic point hillary clinton says opponent donald trump rhetoric terror
339|trying hurt innocent people also want inspire fear us disrupt way live undermine values president obama says terrorists recent attacks
340|donald trump underperforming previous gop candidates georgia mitt romney state points president obama
341|hanging willie nelson left cloud around virginia gov terry mcauliffe
342|traffic headache allegedly intentionally called sokolich endorse chris christie election
343|one obstacle getting hillary clinton way third party candidates
344|campaign battlefield donald trump follows doctrine disproportionate force
345|officials think personnel bombed may syrian military prisoners several us defense sources say
346|jake tapper sit president obama discuss veterans national security foreign policy issues impacting us military
347|cnn stephen collinson discuss different ways donald trump hillary clinton responded saturday bombings new york new jersey leave questions comments
348|people going fighting isis coming back know fighting isis take donald trump says really true come back let loose word
349|hillary clinton donald trump making gut level political calls response weekend wave attacks
350|estero florida republican presidential nominee donald trump holding campaign event
351|letter says donald trump business dealings overseas could pose unprecedented significant conflicts interest
352|case forget bridgegate went stake coming weeks explanation got point
353|wrongly given citizenship countries concern national security united states
354|new york governor andrew cuomo disputes donald trump claims profiling http cnn koln
355|house speaker paul ryan ivanka father donald trump tense relationship throughout campaign
356|washington dc newseum kick myvote traveling country listening matters voters historic election please leave questions
357|future gop look like age donald trump check cnn new podcast party people
358|donald trump points israel uses profiling done unbelievable job
359|donald trump supporters likely white working class voters say america best days past check white working class worried first report extensive cnn kaiser family foundation survey
360|know could aggressive governor andrew cuomo says
361|donald trump criticizes hillary clinton approach national security issues
362|control senate grabs november gop leaders anxious wrap high priority legislation
363|back donald trump donation least million likely headed political operation helmed ricketts family
364|donald trump reputation always available reporters way date
365|bowl skittles told three would kill would take handful syrian refugee problem read image donald trump posted
366|probably saw litigious guy want get sued left alone donald trump says
367|daughter robert kennedy kathleen kennedy townsend says facebook post former republican president george h w bush told voting hillary clinton
368|stakes high candidates likely line donald trump foreign policy novice still looking prove chops
369|reason woman president society still grapple means see powerful women president obama says http cnn cg kbn
370|president bill clinton says natural foundation donors seek favors none given
371|rnc chair reince priebus warned consequences backing republican nominee http cnn crrd u
372|trying hurt innocent people also want inspire fear us disrupt way live undermine values president obama says terrorists recent attacks http cnn wu
373|traffic headache allegedly intentionally called sokolich endorse chris christie election http cnn r bb
374|people going fighting isis coming back know fighting isis take donald trump says really true come back let loose word http cnn bjb
375|forgotten tribe west virginia america white working class feels left behind http cnn ddgjmx
376|hillary clinton visiting two battleground states week hardly sign confidence standing days election acknowledgement one task reigns preparing first face face confrontation donald trump
377|rnc chairman reince priebus threw thinly veiled warning former gop ers yet endorsed donald trump get board face penalties ever seek presidency
378|donald trump thinks dominance republican primary debates translate success next week matchup hillary clinton lanhee chen thinks trump surprise check first episode cnn new podcast party people partypeople
379|subscribe partypeople new cnn podcast hosted kevin madden marykatharine ham itunes stitcher favorite app http cnn tr
380|federal appeals court consider gun restriction requires applicants license carry concealed firearm demonstrate good reason fear injury person property
381|cnn orc poll last week found hillary clinton donald trump almost evenly matched
382|maine senator angus king jr says stopping immigration would terrible loss country cnn ddbt g
383|president obama bids farewell united nations address meant recap eight years efforts foster peace security around globe despite often tumultuous world stymied efforts
384|mayors new york city london paris released joint op ed advocating refugee resettlement urging world leaders meeting respond watershed moment relief safe migrants
385|national rifle association returns defense donald trump closing weeks presidential campaign reminder fervently gun rights group backed republican nominee television
386|hillary clinton jimmy fallon donald trump vladimir putin famous bromance going http cnn ddnid
387|ivanka trump join female republican house members senators washington promote donald trump proposals child care continued effort father presidential campaign reach women voters
388|president obama touts foreign policy achievements final unga acknowledges concerns home abroad cnn czmcai
389|since president obama attended first president several authoritarians dictators undemocratic leaders times vexed america departed scene http cnn czbcoz
390|president obama makes implicit reference donald trump unga address aa nation ringed walls would imprison cnn czmcai
391|senate banking committee hearing wells fargo ceo john stumpf apologized customers million fake accounts opened names http cnn cwzhmg
392|donald trump hillary clinton would rather clinton president overall would rather obama third term yg tells cnn getpolitical
393|hillary clinton says recent shooting terencecrutcher tulsa oklahoma unbearable says systemic racism tolerated
394|senate minority leader senator harry reid says donald trump failed businessman whose dealings would harm americans
395|national rifle association returns defense donald trump closing weeks presidential campaign reminder fervently gun rights group backed republican nominee television
396|poll elon university finds donald trump leading hillary clinton point among likely voters statistical tie within margin error
397|august months invasion began war widely criticized donald trump came fully war
398|capitol hill families supporting justice sponsors terrorism act faces strong opposition white house
399|substantial donation fisher house veterans charity part settlement city palm beach florida home donald trump mar lago club
400|hillary clinton presidential candidate looking undermine donald trump utah
401|u dragon lady provides high altitude weather surveillance reconnaissance day night direct support u allied forces according air force base fact sheet
402|poll finds hillary clinton leading donald trump among likely voters crucial battleground gary johnson jill stein florida ballot drew respectively
403|heavy smoker boehner also recently joined tobacco company reynolds american director
404|incredibly difficult overstate donald trump influence presidential race unless course donald trump
405|look back president obama first speech general assembly compared final speech president http cnn czmcai
406|talking would people disabilities hillary clinton offering voters implicit contrast donald trump
407|kathleen hartington kennedy townsend fire revealed former president george h w bush vote hillary clinton
408|cnn theodore schleifer tal kopan talk money behind campaign expect new fundraising numbers coming tuesday leave questions comments
409|international committee red cross says around civilians killed well director red crescent urum al kubra branch omar barakat
410|senator ron johnson says request information putting pieces together
411|cnn correspondents chris moody vanessa yurkevich travel myvote camper report ground talk citizens capture faces voices people
412|president obama paints dark picture future awaiting americans world forces aggressive nationalism crude populism win
413|pet night capitol hill talking handlers therapy animals members congress learning benefits owning pet
414|former president george h w bush told room roughly people would vote hillary clinton november according sources close bush
415|report even worse reported inspector general individuals naturalized deported country
416|donald trump ignores reporters questions first opportunity journalists covering campaign ask republican nominee reversal issue
417|president barack obama makes impassioned plea countries fulfill moral obligation alleviate global refugee crisis epic proportions
418|screening airports entail putting everyone metal detector
419|revelation put forth prosecutors underscores scope political scandal played leading role destroying chris christie presidential ambitions
420|donald trump calling building safe zones syria financed gulf states vaunts benefits business opm called opm time business called people money trump says
421|job actually help iraqis generate forces support necessary operations mosul ready october says gen joseph dunford chairman joint chiefs staff
422|five common questions terrorism suspects legal system
